zip,lat,lon,state,state_code
85261,33.5092,-111.899,Arizona,AZ
85262,33.7752,-111.7791,Arizona,AZ
85263,33.7225,-111.6757,Arizona,AZ
85264,33.6118,-111.6806,Arizona,AZ
85266,33.7669,-111.9182,Arizona,AZ
85267,33.5092,-111.899,Arizona,AZ
85268,33.6085,-111.7237,Arizona,AZ
85269,33.6117,-111.7174,Arizona,AZ
85271,33.5092,-111.899,Arizona,AZ
85274,33.4125,-111.8319,Arizona,AZ
85275,33.4125,-111.8319,Arizona,AZ
85277,33.4125,-111.8319,Arizona,AZ
85280,33.4014,-111.9313,Arizona,AZ
85281,33.4227,-111.9261,Arizona,AZ
85282,33.3917,-111.9249,Arizona,AZ
85283,33.3665,-111.9312,Arizona,AZ
85284,33.3363,-111.9197,Arizona,AZ
85285,33.4148,-111.9093,Arizona,AZ
85286,33.2711,-111.8311,Arizona,AZ
85287,33.4285,-111.9349,Arizona,AZ
85288,33.4419,-111.9236,Arizona,AZ
85295,33.3054,-111.7408,Arizona,AZ
85296,33.3354,-111.7406,Arizona,AZ
85297,33.2781,-111.7096,Arizona,AZ
85298,33.2522,-111.7022,Arizona,AZ
85299,33.3528,-111.789,Arizona,AZ
85301,33.5311,-112.1767,Arizona,AZ
85302,33.5675,-112.1753,Arizona,AZ
85303,33.5262,-112.2149,Arizona,AZ
85304,33.5943,-112.1746,Arizona,AZ
85305,33.5291,-112.2482,Arizona,AZ
85306,33.6239,-112.1776,Arizona,AZ
85307,33.5376,-112.3137,Arizona,AZ
85308,33.6539,-112.1694,Arizona,AZ
85309,33.5387,-112.186,Arizona,AZ
85310,33.7047,-112.1641,Arizona,AZ
85311,33.5387,-112.186,Arizona,AZ
85312,33.5387,-112.186,Arizona,AZ
85318,33.5387,-112.186,Arizona,AZ
85320,33.9186,-113.2134,Arizona,AZ
85322,33.3133,-112.7891,Arizona,AZ
85323,33.4321,-112.3438,Arizona,AZ
85326,33.3703,-112.5838,Arizona,AZ
85327,33.8333,-111.9508,Arizona,AZ
85329,33.4353,-112.2979,Arizona,AZ
85331,33.8851,-111.9349,Arizona,AZ
85335,33.6082,-112.3241,Arizona,AZ
85337,32.9306,-112.7468,Arizona,AZ
85338,33.4368,-112.3834,Arizona,AZ
85339,33.3436,-112.1716,Arizona,AZ
85340,33.5098,-112.4135,Arizona,AZ
85342,33.8567,-112.6232,Arizona,AZ
85343,33.3481,-112.6774,Arizona,AZ
85345,33.5761,-112.2344,Arizona,AZ
85351,33.6061,-112.2797,Arizona,AZ
85353,33.4347,-112.2774,Arizona,AZ
85354,33.4228,-112.9528,Arizona,AZ
85355,33.5673,-112.4387,Arizona,AZ
85358,33.9686,-112.7296,Arizona,AZ
85361,33.7637,-112.6142,Arizona,AZ
85363,33.5908,-112.3013,Arizona,AZ
85372,33.5975,-112.2718,Arizona,AZ
85373,33.6588,-112.3214,Arizona,AZ
85374,33.63,-112.3314,Arizona,AZ
85375,33.6856,-112.3659,Arizona,AZ
85376,33.662,-112.3413,Arizona,AZ
85377,33.824,-111.913,Arizona,AZ
85378,33.6306,-112.3332,Arizona,AZ
85379,33.6021,-112.3736,Arizona,AZ
85380,33.5806,-112.2374,Arizona,AZ
85381,33.6048,-112.2237,Arizona,AZ
85382,33.6308,-112.2072,Arizona,AZ
85383,33.7169,-112.238,Arizona,AZ
85385,33.5806,-112.2374,Arizona,AZ
85387,33.7129,-112.4375,Arizona,AZ
85388,33.6134,-112.4512,Arizona,AZ
85390,33.8944,-112.8603,Arizona,AZ
85392,33.4777,-112.3093,Arizona,AZ
85395,33.479,-112.3947,Arizona,AZ
85396,33.468,-112.4787,Arizona,AZ
85360,34.7033,-113.6113,Arizona,AZ
86021,36.9903,-112.9758,Arizona,AZ
86401,35.1328,-113.7033,Arizona,AZ
86402,35.2632,-114.0637,Arizona,AZ
