zip,lat,lon,state,state_code
99726,65.2264,-151.0251,Alaska,AK
99730,65.4681,-144.7489,Alaska,AK
99733,65.8245,-144.0826,Alaska,AK
99740,66.5647,-145.2739,Alaska,AK
99741,64.7333,-156.9275,Alaska,AK
99745,66.0382,-154.2644,Alaska,AK
99746,65.6899,-156.292,Alaska,AK
99748,64.3305,-158.7243,Alaska,AK
99754,64.8803,-157.7008,Alaska,AK
99756,65.0011,-150.6339,Alaska,AK
99757,63.8828,-152.3122,Alaska,AK
99758,65.0584,-149.6912,Alaska,AK
99760,64.5577,-149.0867,Alaska,AK
99765,64.7194,-158.1031,Alaska,AK
99767,65.509,-150.1619,Alaska,AK
99768,64.7201,-155.5039,Alaska,AK
99774,66.0064,-149.0908,Alaska,AK
99777,65.1719,-152.0789,Alaska,AK
99781,67.0104,-146.4137,Alaska,AK
99788,66.6544,-143.7222,Alaska,AK
36003,32.4625,-86.7149,Alabama,AL
36006,32.6596,-86.7178,Alabama,AL
36008,32.5016,-86.5727,Alabama,AL
36051,32.6841,-86.4946,Alabama,AL
36066,32.4787,-86.43,Alabama,AL
36067,32.4715,-86.4831,Alabama,AL
36068,32.464,-86.4597,Alabama,AL
36749,32.5104,-86.8138,Alabama,AL
36507,30.8635,-87.7644,Alabama,AL
36511,30.3128,-87.7431,Alabama,AL
36526,30.6197,-87.8895,Alabama,AL
36527,30.6959,-87.8867,Alabama,AL
36530,30.3942,-87.589,Alabama,AL
36532,30.5012,-87.8835,Alabama,AL
36533,30.4841,-87.8606,Alabama,AL
36535,30.4007,-87.6857,Alabama,AL
36536,30.4222,-87.7064,Alabama,AL
36542,30.2717,-87.7589,Alabama,AL
36547,30.246,-87.7008,Alabama,AL
36549,30.3972,-87.4745,Alabama,AL
36550,31.2246,-87.7548,Alabama,AL
36551,30.618,-87.7562,Alabama,AL
36555,30.3996,-87.7761,Alabama,AL
36559,30.5623,-87.9005,Alabama,AL
36561,30.281,-87.5815,Alabama,AL
36562,31.0403,-87.6667,Alabama,AL
36564,30.4741,-87.9192,Alabama,AL
36567,30.5616,-87.6373,Alabama,AL
36574,30.5048,-87.4659,Alabama,AL
36576,30.5222,-87.7457,Alabama,AL
36577,30.6749,-87.9153,Alabama,AL
36578,30.7476,-87.7787,Alabama,AL
36579,31.0129,-87.8633,Alabama,AL
36580,30.4752,-87.6992,Alabama,AL
36016,31.8874,-85.4509,Alabama,AL
36017,31.6852,-85.5904,Alabama,AL
36027,31.9051,-85.1656,Alabama,AL
36048,31.7943,-85.5581,Alabama,AL
36072,31.8913,-85.1455,Alabama,AL
35034,32.9357,-87.2114,Alabama,AL
35035,33.0427,-86.9517,Alabama,AL
35042,32.9503,-87.1192,Alabama,AL
35074,33.2251,-87.1264,Alabama,AL
35184,33.1424,-87.1369,Alabama,AL
35188,33.2068,-87.15,Alabama,AL
36792,32.8888,-86.907,Alabama,AL
36793,32.8646,-86.9567,Alabama,AL
35013,33.9222,-86.4493,Alabama,AL
35031,34.0929,-86.5686,Alabama,AL
35049,33.9778,-86.5598,Alabama,AL
35079,33.9534,-86.7455,Alabama,AL
35097,33.905,-86.6261,Alabama,AL
35121,33.9259,-86.4741,Alabama,AL
35133,33.8168,-86.6008,Alabama,AL
36029,32.2165,-85.8888,Alabama,AL
36053,32.0955,-85.5315,Alabama,AL
36061,32.0928,-85.7046,Alabama,AL
36089,32.1443,-85.7149,Alabama,AL
36015,31.6427,-86.7343,Alabama,AL
36030,31.8501,-86.8372,Alabama,AL
36033,31.6287,-86.734,Alabama,AL
36037,31.81,-86.6229,Alabama,AL
36456,31.545,-86.7356,Alabama,AL
36201,33.6539,-85.8382,Alabama,AL
36202,33.7622,-85.8378,Alabama,AL
36203,33.5815,-85.8328,Alabama,AL
36204,33.7622,-85.8378,Alabama,AL
36205,33.7358,-85.7933,Alabama,AL
36206,33.7191,-85.8389,Alabama,AL
36207,33.6803,-85.7137,Alabama,AL
36250,33.7808,-85.8924,Alabama,AL
36253,33.7622,-85.8378,Alabama,AL
36254,33.6573,-85.6991,Alabama,AL
36257,33.7622,-85.8378,Alabama,AL
36260,33.6031,-85.9608,Alabama,AL
36265,33.831,-85.7752,Alabama,AL
36271,33.7788,-86.0254,Alabama,AL
36272,33.8389,-85.646,Alabama,AL
36277,33.7563,-85.8107,Alabama,AL
36279,33.8226,-85.8927,Alabama,AL
36852,32.7831,-85.2756,Alabama,AL
36854,32.8113,-85.1749,Alabama,AL
36855,33.0424,-85.3243,Alabama,AL
36862,32.9252,-85.4426,Alabama,AL
36863,32.8616,-85.2161,Alabama,AL
35959,34.2417,-85.6026,Alabama,AL
35960,34.1116,-85.6092,Alabama,AL
35973,34.3573,-85.5589,Alabama,AL
35983,34.1911,-85.7705,Alabama,AL
36275,33.9778,-85.5521,Alabama,AL
35045,32.8355,-86.6425,Alabama,AL
35046,32.9229,-86.545,Alabama,AL
35085,32.9805,-86.7181,Alabama,AL
35171,32.9157,-86.7158,Alabama,AL
36091,32.7499,-86.5114,Alabama,AL
36750,32.8045,-86.8717,Alabama,AL
36790,32.7332,-86.8963,Alabama,AL
36904,32.0829,-88.2064,Alabama,AL
36908,31.8666,-88.3265,Alabama,AL
36910,32.2299,-88.1684,Alabama,AL
36912,32.2177,-88.3234,Alabama,AL
36913,31.9304,-88.4589,Alabama,AL
36915,31.9879,-88.3367,Alabama,AL
36916,32.2094,-88.049,Alabama,AL
36919,31.7668,-88.3091,Alabama,AL
36921,31.9155,-88.151,Alabama,AL
36922,32.3038,-88.1476,Alabama,AL
36436,31.7635,-87.7106,Alabama,AL
36446,31.7925,-87.72,Alabama,AL
36451,31.7088,-87.7772,Alabama,AL
36482,31.6395,-87.6565,Alabama,AL
36524,31.7843,-88.0715,Alabama,AL
36540,31.4258,-87.6822,Alabama,AL
36545,31.5131,-87.8672,Alabama,AL
36727,31.9213,-88.008,Alabama,AL
36784,31.9067,-87.7598,Alabama,AL
35082,33.1162,-86.1386,Alabama,AL
36251,33.2474,-85.829,Alabama,AL
36255,33.2171,-85.7108,Alabama,AL
36258,33.4573,-85.6793,Alabama,AL
36266,33.3286,-85.7346,Alabama,AL
36267,33.1915,-85.9258,Alabama,AL
36261,33.7066,-85.5099,Alabama,AL
36262,33.7717,-85.4381,Alabama,AL
36264,33.6115,-85.5885,Alabama,AL
36269,33.7529,-85.3789,Alabama,AL
36273,33.5616,-85.3786,Alabama,AL
36323,31.4137,-86.0777,Alabama,AL
36330,31.3408,-85.8421,Alabama,AL
36331,31.2978,-85.9036,Alabama,AL
36346,31.5652,-85.971,Alabama,AL
36351,31.369,-85.9404,Alabama,AL
36453,31.1926,-86.1514,Alabama,AL
35616,34.7442,-87.9724,Alabama,AL
35646,34.711,-87.5221,Alabama,AL
35660,34.7578,-87.6971,Alabama,AL
35661,34.7561,-87.6304,Alabama,AL
35662,34.7448,-87.6675,Alabama,AL
35674,34.6874,-87.6833,Alabama,AL
36401,31.458,-86.9258,Alabama,AL
36429,31.2627,-86.7711,Alabama,AL
36432,31.2991,-87.0225,Alabama,AL
36454,31.3366,-87.1855,Alabama,AL
36473,31.3058,-87.2137,Alabama,AL
36475,31.4256,-87.172,Alabama,AL
35072,33.0746,-86.0781,Alabama,AL
35089,32.9791,-86.0484,Alabama,AL
35136,32.878,-86.24,Alabama,AL
35183,33.0238,-86.3042,Alabama,AL
36026,32.8139,-86.1051,Alabama,AL
36038,31.4068,-86.4841,Alabama,AL
36420,31.2971,-86.4905,Alabama,AL
36442,31.0172,-86.3385,Alabama,AL
36455,31.0105,-86.3497,Alabama,AL
36467,31.2799,-86.2571,Alabama,AL
36474,31.4399,-86.6121,Alabama,AL
36476,31.3533,-86.541,Alabama,AL
36483,31.0223,-86.6293,Alabama,AL
36009,31.571,-86.2743,Alabama,AL
36028,31.5066,-86.3663,Alabama,AL
36034,31.6641,-86.171,Alabama,AL
36041,31.9283,-86.2971,Alabama,AL
36042,31.8784,-86.3981,Alabama,AL
36049,31.7074,-86.2566,Alabama,AL
36062,31.8488,-86.2077,Alabama,AL
36071,31.7062,-86.3715,Alabama,AL
35019,34.2683,-86.6213,Alabama,AL
35033,33.9737,-87.0043,Alabama,AL
35053,34.0821,-87.0484,Alabama,AL
35055,34.1761,-86.8298,Alabama,AL
35056,34.1748,-86.8436,Alabama,AL
35057,34.0878,-86.9447,Alabama,AL
35058,34.2098,-86.752,Alabama,AL
